bill_id,retailer_name,order_date,email,product,product_category,quantity,price,payment_method,commission,payment_terms,final_price,payment_status,billing_address,promotion
9440109491,Muire,19/04/2024,mnutten0@xrea.com,mustard oil,oil,23,3680,cash,1%,10%,3312,pending,05 Reindahl Alley,true
1173581081,Deeanne,04/04/2024,dlynds1@weibo.com,mustard oil,oil,5,800,PayPal,2%,90%,776,pending,14 Caliangt Circle,true
8092386846,Kacey,01/05/2024,kkaasmann2@google.co.uk,palm oil,oil,22,2640,cash,1%,50%,2613.6,pending,8953 American Ash Pass,false
4329769549,Davidson,23/02/2024,dkindred3@e-recht24.de,Sunflower oil,oil,14,2100,debit card,0.9%,90%,2037,pending,13773 South Lane,false
0632511427,Egan,15/03/2024,ewitherow4@army.mil,coconut oil,oil,15,3000,credit card,1%,100%,2850,paid,05946 Manitowish Way,false
5991194017,Merola,15/03/2024,mhustings5@sogou.com,Sunflower oil,oil,25,3750,PayPal,2%,80%,3675,pending,52118 Drewry Road,false
5994115444,Vivien,20/01/2024,vgarlicke6@google.it,Sunflower oil,oil,10,1500,PayPal,1%,90%,1455,pending,2 Delladonna Junction,false
2632212391,Jackquelin,16/03/2024,jizhaky7@tinypic.com,Sunflower oil,oil,24,3600,debit card,0.9%,80%,3528,pending,50 Derek Parkway,false
2192834136,Heath,26/02/2024,hscotson8@trellian.com,coconut oil,oil,7,1400,Gpay,1%,10%,1260,pending,39 Clarendon Court,true
3750246904,Claus,19/01/2024,ctrehearne9@bigcartel.com,palm oil,oil,18,2160,debit card,1%,50%,2138.4,pending,377 Dexter Center,false
5501142899,Minnaminnie,01/01/2024,mdimatteoa@surveymonkey.com,Sunflower oil,oil,23,3450,credit card,0.9%,90%,3346.5,pending,925 Washington Street,false
9408804481,Florrie,18/04/2024,fspatonib@whitehouse.gov,palm oil,oil,4,480,Gpay,0.9%,10%,432,pending,92 Cherokee Lane,false
